,Closest City,Country Code,Latitude,Longitude,Temperature,Wind Speed,Humidity,Cloudiness
320,stykkisholmur,is,65.08,-22.73,3.83,11.76,96.0,92.0
321,qaqortoq,gl,60.72,-46.03,-11.0,1.5,33.0,20.0
322,olbia,it,40.92,9.49,14.0,2.6,54.0,40.0
323,wadi musa,jo,30.32,35.48,24.73,0.96,50.0,0.0
324,corn island,ni,12.17,-83.04,25.15,6.11,100.0,92.0
325,noyabrsk,ru,63.2,75.45,-5.85,8.41,88.0,68.0
326,portobelo,pa,9.55,-79.65,28.0,4.1,74.0,20.0
328,taclobo,ph,12.31,122.59,26.85,7.46,99.0,88.0
329,pitogo,ph,13.79,122.09,25.63,6.16,100.0,80.0
330,gravdal,no,59.79,5.78,8.0,3.1,49.0,40.0
331,oistins,bb,13.07,-59.53,29.0,9.3,66.0,40.0
332,opuwo,na,-18.06,13.84,28.23,1.51,57.0,24.0
333,say,ne,13.1,2.36,38.0,3.1,3.0,0.0
334,ouargaye,bf,11.5,0.06,38.58,2.31,21.0,0.0
335,barao de melgaco,br,-16.19,-55.97,25.0,1.0,94.0,75.0
336,vorgashor,ru,67.58,63.95,-14.68,4.61,79.0,68.0
337,kigorobya,ug,1.62,31.31,28.88,0.51,86.0,12.0
338,oppdal,no,62.6,9.69,-8.43,1.31,66.0,0.0
340,wukari,ng,7.87,9.78,39.33,2.41,23.0,0.0
341,tchaourou,bj,8.89,2.6,37.6,1.96,29.0,8.0
342,college,us,64.86,-147.8,-14.0,5.1,50.0,1.0
343,taos,us,36.41,-105.57,3.0,1.5,37.0,1.0
344,puerto ayora,ec,-0.74,-90.35,26.0,5.1,83.0,75.0
345,quepos,cr,9.43,-84.16,22.0,7.2,52.0,0.0
346,kirakira,sb,-10.46,161.92,28.38,5.91,100.0,76.0
347,kulhudhuffushi,mv,6.62,73.07,29.0,2.56,100.0,0.0
348,sapa,ph,14.32,120.76,27.0,4.1,69.0,75.0
349,pilar,ph,14.67,120.55,27.0,2.6,61.0,20.0
350,sinop,tr,42.03,35.15,11.88,4.56,89.0,80.0
351,asosa,et,10.07,34.53,33.3,2.96,22.0,76.0
352,hede,cn,33.77,120.25,12.4,2.76,82.0,0.0
354,porto empedocle,it,37.29,13.53,16.0,5.7,77.0,75.0
355,formosa,ar,-26.19,-58.17,19.0,4.6,72.0,0.0
356,kaseda,jp,31.42,130.32,15.75,3.11,100.0,68.0
357,sistranda,no,63.73,8.83,1.0,2.6,47.0,20.0
358,mutoko,zw,-17.4,32.23,28.58,3.16,60.0,24.0
359,nsanje,mw,-16.92,35.26,34.4,2.81,46.0,24.0
360,san jose,ph,15.79,120.99,21.9,0.96,84.0,64.0
361,tubuala,pa,9.52,-79.03,28.0,3.6,69.0,20.0
362,mana,gf,5.67,-53.78,25.9,1.16,94.0,68.0
363,gongzhuling,cn,43.5,124.81,14.65,11.16,32.0,76.0
364,tautira,pf,-17.73,-149.15,27.0,1.5,78.0,64.0
365,madridejos,ph,9.79,123.35,27.1,6.71,92.0,48.0
366,port blair,in,11.67,92.75,29.2,0.76,100.0,0.0
368,zhangye,cn,38.94,100.46,5.9,2.31,56.0,0.0
369,fukue,jp,35.03,136.69,13.0,3.1,87.0,0.0
370,puerto el triunfo,sv,13.27,-88.55,30.0,3.6,51.0,0.0
371,alghero,it,40.56,8.32,14.0,4.1,71.0,40.0
372,konevo,ru,56.45,43.2,4.0,4.0,64.0,40.0
373,makakilo city,us,21.35,-158.09,21.0,2.1,93.0,20.0
374,bardstown,us,37.81,-85.47,9.0,2.1,100.0,90.0
375,tatvan,tr,38.5,42.28,21.0,3.1,39.0,75.0
376,lovozero,ru,68.01,35.02,-7.7,1.01,73.0,56.0
377,verkhnyaya inta,ru,65.99,60.32,-12.88,3.91,69.0,68.0
378,pyaozerskiy,ru,65.83,31.17,-6.88,3.31,66.0,12.0
379,abonnema,ng,4.71,6.79,33.0,2.1,63.0,75.0
381,jiutai,cn,44.15,125.84,16.0,13.0,26.0,48.0
383,durham,ca,44.17,-80.81,5.5,6.36,47.0,0.0
384,bambous virieux,mu,-20.34,57.76,27.0,4.1,69.0,40.0
385,pokrovsk,ru,61.48,129.14,-6.35,1.31,86.0,56.0
386,filadelfia,co,5.3,-75.56,22.0,0.81,72.0,40.0
387,severodvinsk,ru,64.56,39.82,-7.0,3.0,73.0,40.0
388,vardo,no,70.37,31.11,-5.0,10.8,79.0,75.0
390,golden,us,39.76,-105.22,4.0,2.1,93.0,90.0
391,hazorasp,uz,41.32,61.08,17.0,3.1,33.0,0.0
392,mandera,ke,3.94,41.87,33.45,3.36,33.0,0.0
393,tigzirt,dz,36.57,4.2,8.58,1.21,98.0,68.0
394,bud,no,62.91,6.91,3.0,9.3,37.0,0.0
395,cumbitara,co,1.65,-77.58,17.0,1.5,93.0,20.0
396,necochea,ar,-38.55,-58.74,16.88,5.26,87.0,36.0
398,pocone,br,-16.26,-56.62,22.25,4.56,98.0,92.0
399,brikama,gm,13.27,-16.65,33.0,3.6,21.0,5.0
400,karwar,in,14.8,74.13,28.7,0.56,59.0,48.0
